name	count
TOMIRA	57
LOTTA	57
JADE	57
FLAWIA	57
SUSANNA	56
VIVIENNE	56
KAYA	56
AMIRA	56
LEOPOLDYNA	56
EDWINA	56
HOPE	56
AISHA	55
MARÍA	55
MAGDALENE	55
ROMINA	55
JANET	55
VITTORIA	55
FLORENCE	55
CHIOMA	55
ISABELL	55
JAGIENKA	55
KATHRIN	55
ELIF	54
KASJANA	54
IZAURA	54
KATIA	54
HENRIETTA	54
-	54
KWIRYNA	54
OFELIA	54
LEIGH	54
DAGNY	54
ŻANNA	53
ANJA	53
WITOSŁAWA	53
JULIETTE	53
ESMERALDA	53
ALESSANDRA	53
ALI	53
RAE	53
INÉS	52
MAIA	52
EURYDYKA	52
NAWOJKA	52
KORA	52
JOAN	52
AMINA	52
DEBORAH	52
TRANG	51
JADWIGA KAZIMIERA	51
SOLEDAD	51
DEVI	51
ROZA	51
HERMENEGILDA	51
AMELIE	51
ANNAMARIA	51
INGEBORG	51
MONIQUE	51
IRINA	51
MARIJA	50
GIULIA	50
FABIANA	50
FLORENCIA	50
ANATOLIA	50
BIBIANA	50
ANNETTE	50
LUCIE	50
SOFIJA	50
BLANCA	50
ZEFIRYNA	50
GEORGIA	50
DOBROMIRA	49
PATRIZIA	49
MATILDA	49
ANGEL	49
GISELA	49
BELEN	49
HANNELORE	49
EMILIANA	49
AGATHA	49
SABA	49
MARYSIA	49
MICHELE	49
JEANETTE	48
SAWA	48
NIKITA	48
LAUREN	48
YASMIN	48
BETTINA	48
ITA	47
DAISY	47
VIVIAN	47
JOSEFINA	47
MILADA	47
ELAINE	47
ERICA	47
ELIZABET	47
WIOLA	47
MARIA ANTONINA	47
ELFRIEDA	47
ELFRIEDE	46
CHARLOTTA	46
LIA	46
ANDRZEJA	46
NIKA	46
CYNTHIA	46
GABRIELE	46
ANTOINETTE	46
ZARA	46
FERDYNANDA	46
VERA	46
DYONIZA	46
KATRINA	46
MOHAMED	46
KARLA	46
SYNTIA	46
JENNY	45
ELSA	45
ALEKSA	45
NICOLETTA	45
LOLA	45
SABINE	45
BRAK DANYCH	45
ARETA	45
SONJA	45
VALERIE	45
ALODIA	44
EILEEN	44
ANNEMARIE	44
WALTRAUT	44
DAWN	44
ROSANNA	44
BRUNHILDA	44
AISZA	44
KAY	44
INDIA	43
ROSALIA	43
DANA	43
SWIETŁANA	43
TAIDA	43
ELEKTRA	43
TONIA	43
RIVKA	43
CHRISTA	43
GIZELLA	43
THERESIA	43
SYBILA	42
SZARLOTTA	42
JANINA KAZIMIERA	42
LILLI	42
JUSTINE	42
MARIA ANNA	41
JANINE	41
CEZARIA	41
ANZELMA	41
GEORGIEVA	41
FELICIA	41
MATHILDE	41
MARGUERITE	41
HILARIA	41
ADELE	41
TARA	41
IGNACJA	41
DOMINICA	41
ŻYWIA	40
HOA	40
NGOC	40
GABRYJELA	40
KUMARI	40
BOZENA	40
FREDA	40
CIRILLA	39
LEYLA	39
COLETTE	39
PHUONG	39
WALERIANA	39
THUY	39
KELLY	39
MARI	39
ALENA	39
SASKIA	39
CATALINA	38
VERONIQUE	38
GAIA	38
ISABELA	38
AUDREY	38
SHARON	38
AHMED	38
MARGARETHE	38
SAMUELA	38
ELIDA	38
IVANOVA	38
MIHAELA	38
KARYNA	38
CONSTANCE	38
CELINE	38
KATHRYN	38
MABEL	37
ALANA	37
KORALIA	37
MILANA	37
MARIA KRYSTYNA	37
ROSITA	37
JOYCE	37
BOŻYSŁAWA	37
MALIKA	37
ANATOLA	37
LÉA	37
NOELIA	37
INGE	37
ANNA-MARIA	37
ANŻELIKA	36
WALDEMARA	36
LETICIA	36
FATMA	36
CLARE	36
MARIA ELŻBIETA	36
FRANCISCA	36
LEONIE	36
GIOVANNA	36
BETH	36
NORBERTA	36
LAWINIA	36
MARIA ZOFIA	35
GISELLE	35
MIKA	35
ANNIE	35
ANNABELLE	35
ZBYSŁAWA	35
ARIA	35
ALISON	35
BELÉN	35
WIELISŁAWA	35
SALMA	35
HUONG	35
ELLI	35
MARGITA	35
CHANEL	35
BOŻENA KAZIMIERA	35
ADELAIDA	35
CAROL	35
WENESA	34
CHRISTIANA	34
FILIPA	34
ALEXIS	34
JENIFER	34
DAMROKA	34
ROSEMARIE	34
XENIA	34
AGATHE	34
ANNIKA	34
ALISA	34
CAMILA	34
HEIDI	34
JAYNE	34
ERNESTA	34
MARIYA	34
GENEVIEVE	34
LARISA	33
MOLLY	33
ANDREEA	33
ANNELIESE	33
NANCY	33
ZAHRA	33
IOANA	33
NOELLE	33
ELISABET	33
YVETTE	33
CHRISTEL	33
SOLANGE	33
DOBIESŁAWA	33
HANIA	33
CHRISTIANE	33
LEONOR	33
KRISTINE	33
AGRYPINA	33
BASIA	33
NGOZI	32
HANG	32
MARTINE	32
EDITA	32
ALWINA	32
SELMA	32
MARGIT	32
KATERINA	32
KORYNA	32
EVELINA	32
TIFFANY	32
JOSE	32
RUFINA	32
